City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
332,Amga,RU,60.8953,131.9608,34.72,93,5,2.62,clear sky
333,Lake City,US,30.1897,-82.6393,88.86,65,75,4.61,broken clouds
334,Sumenep,ID,-7.0167,113.8667,80.46,80,96,9.66,overcast clouds
335,Nhulunbuy,AU,-12.2333,136.7667,79.41,83,75,18.41,broken clouds
336,Tena,EC,-0.9833,-77.8167,84.36,56,24,3.83,few clouds
337,Yerbogachen,RU,61.2767,108.0108,45.7,94,84,1.45,broken clouds
338,Nosy Varika,MG,-20.5833,48.5333,69.26,89,4,3.71,clear sky
339,Bengkulu,ID,-3.8004,102.2655,76.66,90,79,3.29,light rain
340,Bonito,BR,-21.1211,-56.4819,79.81,27,8,4.09,clear sky
341,Hambantota,LK,6.1241,81.1185,79.66,85,5,15.79,clear sky
342,Venice,US,27.0998,-82.4543,94.06,56,75,13.8,broken clouds
343,Qinnan,CN,33.2531,119.9133,65.46,58,98,7.85,overcast clouds
344,Saint-Paul,RE,-21.0096,55.2707,73.49,77,41,1.81,scattered clouds
