City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
261,Kavaratti,IN,2022-05-16 14:52:33,10.5669,72.642,80.73,80,100,20.74
262,Gwadar,PK,2022-05-16 14:52:34,25.1216,62.3254,85.23,66,0,20.15
263,Sao Luis,BR,2022-05-16 14:47:49,-2.5297,-44.3028,88.0,66,40,11.5
264,Phalaborwa,ZA,2022-05-16 14:52:35,-23.943,31.1411,70.88,60,94,10.04
265,Castro,BR,2022-05-16 14:52:35,-24.7911,-50.0119,56.77,74,99,6.53
266,Fort Nelson,CA,2022-05-16 14:52:36,58.8053,-122.7002,47.79,61,75,5.75
267,Aklavik,CA,2022-05-16 14:52:36,68.2191,-135.0107,30.81,90,100,13.49
268,Talnakh,RU,2022-05-16 14:52:37,69.4865,88.3972,45.21,88,100,8.59
269,Lagoa,PT,2022-05-16 14:52:37,39.05,-27.9833,56.35,69,16,28.16
270,Alihe,CN,2022-05-16 14:52:38,50.5667,123.7167,48.42,61,100,3.91
271,Hasaki,JP,2022-05-16 14:52:39,35.7333,140.8333,57.6,92,100,19.37
272,Serenje,ZM,2022-05-16 14:53:40,-13.2325,30.2352,64.17,63,5,6.91
273,Arraial Do Cabo,BR,2022-05-16 14:53:40,-22.9661,-42.0278,78.76,73,40,13.8
274,Balgazyn,RU,2022-05-16 14:53:41,51.0,95.2,59.22,59,100,12.77
275,San Juan,AR,2022-05-16 14:53:41,-31.5375,-68.5364,54.05,34,5,4.23
276,Lasa,IT,2022-05-16 14:53:42,46.6166,10.7002,61.68,76,100,1.14
277,Liuhe,CN,2022-05-16 14:53:42,42.2401,125.7172,47.14,39,0,5.91
278,Bengkulu,ID,2022-05-16 14:49:38,-3.8004,102.2655,78.55,88,100,3.15
279,Palmeira,BR,2022-05-16 14:53:43,-25.4294,-50.0064,59.63,57,17,7.11
280,Kawalu,ID,2022-05-16 14:53:44,-7.3817,108.2082,74.53,97,88,1.43
281,Abasolo,MX,2022-05-16 14:53:45,20.45,-101.5167,74.79,29,17,5.53
282,Lithakia,GR,2022-05-16 14:53:45,37.7167,20.8333,74.57,68,23,8.57
283,San Rafael,AR,2022-05-16 14:50:43,-34.6177,-68.3301,50.59,37,0,4.41
284,Parrita,CR,2022-05-16 14:53:46,9.5201,-84.3225,84.47,74,91,4.23
285,Hutang,CN,2022-05-16 14:53:46,31.5333,119.4833,64.18,49,38,6.96
